group,id,input,mean,std_dev,median,max,min
ProjectionPushdown,With,1000,99947802.69302149,363229.50363215746,99931558.53333333,100983537.0,99434183.0909091
ProjectionPushdown,With,10,5629104.285438599,53798.57233589503,5617348.252941176,5786079.235294118,5556933.0326797385
ProjectionPushdown,With,100,16238292.985637117,5881599.919700969,12765438.873015873,27616466.14285714,12687286.040816326
ProjectionPushdown,Without,1000,179739160.6,600436.0975276917,179729985.83333334,181753030.83333334,178793283.66666666
ProjectionPushdown,Without,10,869012981.0,113166694.21940006,842932257.5,1360481862.0,825898952.0
ProjectionPushdown,Without,100,22241978.78629874,4827805.148825408,20584286.71111111,39014246.32,20143123.825
PredicatePushdown-selectivity,With,60,26405607.490944993,362286.83968170366,26314201.4,27974963.25,26272707.25
PredicatePushdown-selectivity,With,40,28230316.62302684,355244.4582848715,28468116.795454547,28666510.32142857,27675176.916666668
PredicatePushdown-selectivity,With,80,24180678.045587678,1197539.50172271,23851577.727272727,29331320.25,23767793.35
PredicatePushdown-selectivity,With,20,29185620.612570535,189260.28914220608,29121127.472222224,29801891.0,29021567.083333332
PredicatePushdown-selectivity,Without,60,25738305.69882862,135585.393790048,25683759.85,26160250.25,25637259.85
PredicatePushdown-selectivity,Without,40,34987516.37859601,12287742.861883236,27710226.275,57427807.7,26936916.73214286
PredicatePushdown-selectivity,Without,80,24682574.79240938,5903983.202430523,23264558.355555557,50397450.666666664,23206430.333333332
PredicatePushdown-selectivity,Without,20,28405818.944877855,139751.02402221132,28389145.807692308,28908581.0,28257872.55
ProjectionPushdown(groupby),With,1000,104832502.80978003,27495151.107066505,88406950.15384616,183855495.58333334,88198558.575
ProjectionPushdown(groupby),With,10,5129473.377112044,64790.27403715382,5122312.432748538,5307924.77631579,5007423.912280702
ProjectionPushdown(groupby),With,100,12459276.196494179,3129181.479346768,11345642.277777778,24044974.833333332,11282174.349206349
ProjectionPushdown(groupby),Without,1000,171001351.92834675,19857788.3972544,164479167.0,244055253.94117647,163773798.33333334
ProjectionPushdown(groupby),Without,10,4134381.3635365902,43422.208846967216,4122001.409207161,4272363.130434782,4085869.6666666665
ProjectionPushdown(groupby),Without,100,21694696.524128962,6578477.905569374,18948282.5,40050380.36470588,18819295.15
ProjectionPushdown(join),With,1000,259569409.8875,1786680.8604808394,258656269.25,264397215.75,257849140.25
ProjectionPushdown(join),With,10,256387640.4625,3631663.8179067327,254407057.25,268171625.25,253478682.5
ProjectionPushdown(join),With,100,264814711.05,37058056.07472445,255827675.5,426245436.5,255127200.75
ProjectionPushdown(join),Without,1000,4482817781.85,453666112.5507761,4379182253.0,6456056983.0,4336816216.0
ProjectionPushdown(join),Without,10,352858040.2,3556873.7232747683,351894310.3333333,365585859.6666667,349657328.6666667
ProjectionPushdown(join),Without,100,825809267.6,8261136.070476189,825416656.0,843419777.5,813636296.5
PredicatePushdown-n_row,With,10000,4047451.0363236642,1387377.3186487115,3061145.3636363638,6158863.125874126,2918591.3257575757
PredicatePushdown-n_row,With,1000000,290129920.4,2934614.298443961,290848782.75,294302800.75,283268108.25
PredicatePushdown-n_row,With,100000,31064590.18190022,5229182.16765284,29386563.416666668,49729494.046875,28800461.0
PredicatePushdown-n_row,With,10000000,3111911802.35,38551425.385629416,3095604645.0,3234344038.0,3078274875.0
PredicatePushdown-n_row,Without,10000,4567193.6798119005,1530390.3424232763,5973878.221052632,6353707.278195488,2851780.6558704455
PredicatePushdown-n_row,Without,1000000,283997909.1375,2252297.638188366,284177813.0,287567855.5,276129963.75
PredicatePushdown-n_row,Without,100000,28664202.048043925,292155.7122057923,28695112.37037037,29540929.666666668,27930134.5
PredicatePushdown-n_row,Without,10000000,3112107786.85,296073056.0672043,3031697116.0,4392132359.0,3016296610.0
