group,id,input,measure
ProjectionPushdown - GroupBy,With,1000,56439312.0
ProjectionPushdown - GroupBy,With,1000,56325260.0
ProjectionPushdown - GroupBy,With,1000,56839714.44444445
ProjectionPushdown - GroupBy,With,1000,56628386.333333336
ProjectionPushdown - GroupBy,With,1000,56615432.6
ProjectionPushdown - GroupBy,With,1000,56569049.777777776
ProjectionPushdown - GroupBy,With,1000,56704881.76190476
ProjectionPushdown - GroupBy,With,1000,56746912.708333336
ProjectionPushdown - GroupBy,With,1000,56655090.925925925
ProjectionPushdown - GroupBy,With,1000,56833724.0
ProjectionPushdown - GroupBy,With,1000,56438739.90909091
ProjectionPushdown - GroupBy,With,1000,56528604.05555555
ProjectionPushdown - GroupBy,With,1000,56483660.384615384
ProjectionPushdown - GroupBy,With,1000,56426773.88095238
ProjectionPushdown - GroupBy,With,1000,56357561.64444444
ProjectionPushdown - GroupBy,With,1000,56504509.583333336
ProjectionPushdown - GroupBy,With,1000,56654605.09803922
ProjectionPushdown - GroupBy,With,1000,56548788.94444445
ProjectionPushdown - GroupBy,With,1000,56630883.0
ProjectionPushdown - GroupBy,With,1000,56448670.13333333
ProjectionPushdown - GroupBy,With,10,3926659.5135135134
ProjectionPushdown - GroupBy,With,10,3918641.0
ProjectionPushdown - GroupBy,With,10,3927326.864864865
ProjectionPushdown - GroupBy,With,10,3930511.7297297297
ProjectionPushdown - GroupBy,With,10,3929027.5243243244
ProjectionPushdown - GroupBy,With,10,3920477.90990991
ProjectionPushdown - GroupBy,With,10,3908022.8571428573
ProjectionPushdown - GroupBy,With,10,3902720.1114864866
ProjectionPushdown - GroupBy,With,10,3938095.4804804805
ProjectionPushdown - GroupBy,With,10,3918633.5594594595
ProjectionPushdown - GroupBy,With,10,3927423.85995086
ProjectionPushdown - GroupBy,With,10,3932825.2635135134
ProjectionPushdown - GroupBy,With,10,3921285.187110187
ProjectionPushdown - GroupBy,With,10,3911555.1795366798
ProjectionPushdown - GroupBy,With,10,3920453.5567567567
ProjectionPushdown - GroupBy,With,10,3922786.256756757
ProjectionPushdown - GroupBy,With,10,3930053.416534181
ProjectionPushdown - GroupBy,With,10,3926186.1066066064
