command,mean,stddev,median,user,system,min,max,parameter_lib,parameter_n_row
./tests/pandas/simple.py data/1000_100.csv,0.5275236459599999,0.007443057377626776,0.52846404346,0.85929798,0.587502,0.51852393046,0.53941849646,pandas,1000
./tests/pandas/simple.py data/10000_100.csv,0.5948247764600001,0.01654351216437908,0.58793266246,0.89289168,0.6341531,0.57806721246,0.62754870246,pandas,10000
./tests/pandas/simple.py data/100000_100.csv,1.15077622466,0.02764569665021002,1.15353446596,1.38968938,0.6896602000000002,1.1013623584599999,1.19897465746,pandas,100000
./tests/pandas/simple.py data/1000000_100.csv,6.5894532554600005,0.7512465298816664,6.374121987460001,6.18504938,1.3334253999999999,6.24302173046,8.710675567460001,pandas,1000000
./tests/polars/simple.py data/1000_100.csv,0.1331569988885714,0.0034612672237119943,0.13310088446,0.10893409428571431,0.026524319047619052,0.12741494946,0.14095843246,polars,1000
./tests/polars/simple.py data/10000_100.csv,0.13258148909636364,0.005248564306817996,0.13089300246000002,0.11154942545454544,0.0296542,0.12745641446,0.15054337046,polars,10000
./tests/polars/simple.py data/100000_100.csv,0.15705410126,0.016684748600740807,0.15148578246,0.1761389133333333,0.03727129999999999,0.14182523446,0.19531588446,polars,100000
./tests/polars/simple.py data/1000000_100.csv,0.27720306491454544,0.0055723757946165185,0.27710570746,0.7947046527272725,0.08422297272727271,0.26641373046000005,0.28617366146000006,polars,1000000
./tests/noir/simple.py data/1000_100.csv,0.03506216026821919,0.0023788079646992243,0.03476107246,0.026668585479452053,0.008981680821917807,0.031062409460000003,0.041572917460000004,noir,1000
./tests/noir/simple.py data/10000_100.csv,0.041253039185,0.006258476919216439,0.039679046960000006,0.037127155,0.010239124999999998,0.035105663460000006,0.07292705946,noir,10000
./tests/noir/simple.py data/100000_100.csv,0.07707220191454546,0.004303259182776666,0.07655539346,0.2313026072727273,0.02141019999999999,0.06650643346,0.09177850046,noir,100000
./tests/noir/simple.py data/1000000_100.csv,0.43587865246,0.023196379680923855,0.4260381764600001,2.48390668,0.1168368,0.41483319646000005,0.4926499824600001,noir,1000000
