stream,lib,n_row,time,mem
join,noir,10000000,1710199488.1223,0.5
join,noir,10000000,1710199488.2227,21.613281
join,noir,10000000,1710199488.323,32.835938
join,noir,10000000,1710199488.4233,41.710938
join,noir,10000000,1710199488.5238,92.210938
join,noir,10000000,1710199488.6243,127.335938
join,noir,10000000,1710199488.7249,157.585938
join,noir,10000000,1710199488.8268,191.960938
join,noir,10000000,1710199488.9271,226.460938
join,noir,10000000,1710199489.0276,263.210938
join,noir,10000000,1710199489.1279,294.460938
join,noir,10000000,1710199489.2283,328.585938
join,noir,10000000,1710199489.3287,362.710938
join,noir,10000000,1710199489.4291,395.460938
join,noir,10000000,1710199489.5295,427.585938
join,noir,10000000,1710199489.6299,459.210938
join,noir,10000000,1710199489.7303,491.835938
join,noir,10000000,1710199489.8307,524.460938
join,noir,10000000,1710199489.931,557.960938
join,noir,10000000,1710199490.0314,588.710938
join,noir,10000000,1710199490.1319,621.585938
join,noir,10000000,1710199490.2322,654.835938
join,noir,10000000,1710199490.3325,687.835938
join,noir,10000000,1710199490.4329,720.210938
join,noir,10000000,1710199490.5333,754.085938
join,noir,10000000,1710199490.6337,784.460938
join,noir,10000000,1710199490.7341,815.460938
join,noir,10000000,1710199490.8345,846.960938
join,noir,10000000,1710199490.9348,880.710938
join,noir,10000000,1710199491.0352,911.585938
join,noir,10000000,1710199491.1356,943.460938
join,noir,10000000,1710199491.236,975.585938
join,noir,10000000,1710199491.3364,1006.460938
join,noir,10000000,1710199491.4368,1038.710938
join,noir,10000000,1710199491.5372,1071.585938
join,noir,10000000,1710199491.6376,1103.835938
join,noir,10000000,1710199491.7383,1135.585938
join,noir,10000000,1710199491.8387,1166.835938
join,noir,10000000,1710199491.9391,1200.210938
join,noir,10000000,1710199492.0395,1231.710938
join,noir,10000000,1710199492.1399,1263.710938
join,noir,10000000,1710199492.2403,1294.210938
join,noir,10000000,1710199492.3406,1327.335938
join,noir,10000000,1710199492.441,1359.585938
join,noir,10000000,1710199492.5414,1391.335938
join,noir,10000000,1710199492.6418,1420.085938
join,noir,10000000,1710199492.7422,1449.710938
join,noir,10000000,1710199492.8426,1481.585938
join,noir,10000000,1710199492.943,1512.210938
join,noir,10000000,1710199493.0433,1543.585938
join,noir,10000000,1710199493.1438,1572.960938
join,noir,10000000,1710199493.2442,1603.585938
join,noir,10000000,1710199493.3446,1635.585938
join,noir,10000000,1710199493.445,1668.085938
join,noir,10000000,1710199493.5454,1697.835938
join,noir,10000000,1710199493.6458,1724.585938
join,noir,10000000,1710199493.7462,1747.335938
join,noir,10000000,1710199493.8467,1773.460938
join,noir,10000000,1710199493.9471,1795.710938
join,noir,10000000,1710199494.0476,1820.460938
join,noir,10000000,1710199494.148,1842.335938
join,noir,10000000,1710199494.2484,1865.835938
join,noir,10000000,1710199494.3489,1887.710938
join,noir,10000000,1710199494.4493,1910.585938
join,noir,10000000,1710199494.5497,1930.835938
join,noir,10000000,1710199494.6501,1954.710938
join,noir,10000000,1710199494.7505,1977.460938
join,noir,10000000,1710199494.851,2000.710938
join,noir,10000000,1710199494.9515,2023.835938
join,noir,10000000,1710199495.0519,2046.585938
join,noir,10000000,1710199495.1523,2069.335938
join,noir,10000000,1710199495.2528,2093.085938
join,noir,10000000,1710199495.3532,2113.335938
join,noir,10000000,1710199495.4536,2136.585938
join,noir,10000000,1710199495.554,2160.460938
join,noir,10000000,1710199495.6544,2183.585938
join,noir,10000000,1710199495.7549,2206.085938
join,noir,10000000,1710199495.8553,2230.460938
join,noir,10000000,1710199495.9558,2254.335938
join,noir,10000000,1710199496.0562,2277.335938
join,noir,10000000,1710199496.1567,2300.460938
join,noir,10000000,1710199496.2571,2324.460938
join,noir,10000000,1710199496.3575,2347.960938
join,noir,10000000,1710199496.458,2370.710938
join,noir,10000000,1710199496.5584,2393.085938
join,noir,10000000,1710199496.6588,2415.960938
join,noir,10000000,1710199496.7593,2438.710938
join,noir,10000000,1710199496.8596,2460.835938
join,noir,10000000,1710199496.9601,2483.210938
join,noir,10000000,1710199497.0605,2506.460938
join,noir,10000000,1710199497.1609,2529.460938
join,noir,10000000,1710199497.2614,2553.960938
join,noir,10000000,1710199497.3618,2576.710938
join,noir,10000000,1710199497.4623,2601.460938
join,noir,10000000,1710199497.5627,2625.335938
join,noir,10000000,1710199497.6632,2647.085938
join,noir,10000000,1710199497.7636,2668.460938
join,noir,10000000,1710199497.8641,2690.460938
join,noir,10000000,1710199497.9645,2713.085938
join,noir,10000000,1710199498.0649,2737.085938
join,noir,10000000,1710199498.1653,2759.710938
join,noir,10000000,1710199498.2658,2782.835938
join,noir,10000000,1710199498.3662,2804.460938
join,noir,10000000,1710199498.4667,2826.960938
join,noir,10000000,1710199498.5671,2849.335938
join,noir,10000000,1710199498.6676,2872.210938
join,noir,10000000,1710199498.768,2894.210938
join,noir,10000000,1710199498.8684,2917.710938
join,noir,10000000,1710199498.9688,2940.710938
join,noir,10000000,1710199499.0692,2962.460938
join,noir,10000000,1710199499.1697,2986.085938
join,noir,10000000,1710199499.2701,3009.085938
join,noir,10000000,1710199499.3705,3029.710938
join,noir,10000000,1710199499.4709,3050.585938
